Object	SPW	Product	X Length	Y Length	Num Channels	Obs RA [deg]	Obs Dec [deg]	B Maj	B Min	Position Angle	Min Freq [GHz]	Max Freq [GHz]	Pixel Size [arcsec]
G359.73-a	25	A	288	288	1916	266.2765373	-29.18883755	0.000629375635	0.0004816059229	-87.06695175	109.6653173	109.899107	0.3400000009
G359.73-a	29	A	288	288	1917	266.2765373	-29.18883755	0.0007027039181	0.0005462524902	-86.13209308	97.04119522	98.91237756	0.3400000009
G359.73-a	31	B	350	350	1917	266.2765373	-29.18883755	0.0006594682402	0.0004494749175	-80.82749176	101.7810928	103.6522609	0.2800000006
G359.73-a	29	B	350	350	1917	266.2765373	-29.18883755	0.0006691762774	0.0004586994743	-80.61439311	100.0105316	101.8816995	0.2800000006
G359.73-a	31	A	288	288	1916	266.2765373	-29.18883755	0.0007120348764	0.0005445861781	-81.25298395	98.90609107	99.13987923	0.3400000009
B2-East	25	A	288	288	1917	266.8895873	-28.45512269	0.0006243763646	0.0004821297938	-88.59415026	109.6653058	109.8992175	0.3400000009
B2-East	25	B	350	350	1917	266.8895873	-28.45512269	0.0005646747126	0.0004014107367	-79.62507358	115.1543768	115.3882826	0.2800000006
B2-East	27	A	288	288	1917	266.8895873	-28.45512269	0.000623161019	0.0004826442172	-88.61445497	110.0844919	110.3184036	0.3400000009
B2-East	27	B	350	350	1917	266.8895873	-28.45512269	0.000586587588	0.0004122345315	-80.77772522	112.2423661	112.4762717	0.2800000006
B2-East	31	A	288	288	1917	266.8895873	-28.45512269	0.0007055983827	0.0005428692318	-82.77803235	98.90608067	99.13999079	0.3400000009
B2-East	29	B	350	350	1917	266.8895873	-28.45512269	0.0006455870469	0.0004602621661	-80.96206665	100.0105218	101.8816898	0.2800000006
B2-East	31	B	350	350	1917	266.8895873	-28.45512269	0.0006377926752	0.0004518640102	-81.22288538	101.7810828	103.6522509	0.2800000006
B2-East	29	A	288	288	1917	266.8895873	-28.45512269	0.000694913074	0.0005420096533	-89.35859142	97.04118163	98.91236363	0.3400000009
SgrA-A	27	B	350	350	1917	266.4674623	-28.99098605	0.000600965165	0.0004116297092	-80.64799101	112.2423702	112.4762754	0.2800000006
SgrA-A	25	B	350	350	1917	266.4674623	-28.99098605	0.0005797544453	0.0003990520702	-79.25281525	115.1543882	115.3882936	0.2800000006
SgrA-A	31	A	288	288	1916	266.4674623	-28.99098605	0.0007046177487	0.0005462390542	-82.62108309	98.9060914	99.13987953	0.3400000009
SgrA-A	29	A	288	288	1917	266.4674623	-28.99098605	0.0006960802622	0.0005475596996	-87.88503509	97.04119343	98.91237571	0.3400000009
SgrA-A	25	A	288	288	1916	266.4674623	-28.99098605	0.000623330272	0.0004830138664	-88.52134422	109.6653177	109.8991074	0.3400000009
SgrA-A	31	B	350	350	1917	266.4674623	-28.99098605	0.0006528666284	0.0004503783253	-81.07641602	101.7810929	103.6522608	0.2800000006
SgrA-A	29	B	350	350	1917	266.4674623	-28.99098605	0.0006612818771	0.0004591008027	-80.9757843	100.0105317	101.8816994	0.2800000006
SgrA-A	27	A	288	288	1916	266.4674623	-28.99098605	0.0006220109376	0.0004835886856	-88.64970905	110.0845053	110.318295	0.3400000009
B1-North	27	A	288	288	1917	266.7065124	-28.40426008	0.0006228240357	0.0004831048644	-88.66781505	110.0844688	110.3183805	0.3400000009
B1-North	31	B	350	350	1917	266.7065124	-28.40426008	0.0006413853831	0.0004516878724	-81.24423981	101.7810598	103.6522275	0.2800000006
B1-North	25	A	288	288	1916	266.7065124	-28.40426008	0.0006241724824	0.0004828696835	-88.60851388	109.6652828	109.8990724	0.3400000009
B1-North	29	B	350	350	1917	266.7065124	-28.40426008	0.0006498185131	0.0004604088598	-80.96149445	100.0104992	101.8816667	0.2800000006
B1-North	31	A	288	288	1916	266.7065124	-28.40426008	0.0007047097875	0.0005439219387	-82.7623532	98.90605988	99.13984792	0.3400000009
B1-North	25	B	350	350	1917	266.7065124	-28.40426008	0.0005682469281	0.0004016506982	-79.45863633	115.1543508	115.3882566	0.2800000006
B1-North	29	A	288	288	1917	266.7065124	-28.40426008	0.0006979969226	0.0005474747732	-87.932966	97.04116123	98.91234289	0.3400000009
B1-North	27	B	350	350	1917	266.7065124	-28.40426008	0.0005911301916	0.0004129729103	-80.77946902	112.2423375	112.476243	0.2800000006
H14	25	A	288	288	1916	266.4075499	-28.87615729	0.000622502168	0.0004825216532	-88.49742889	109.6652989	109.8990885	0.3400000009
H14	27	B	350	350	1917	266.4075499	-28.87615729	0.0006061964887	0.0004102393557	-80.36670274	112.242349	112.4762605	0.2800000006
H14	27	A	288	288	1916	266.4075499	-28.87615729	0.0006215865579	0.0004835508381	-88.63105071	110.0844867	110.3182763	0.3400000009
H14	25	B	350	350	1917	266.4075499	-28.87615729	0.0005842188839	0.0003984563117	-79.1982041	115.1543665	115.3882784	0.2800000006
H14	29	B	350	350	1917	266.4075499	-28.87615729	0.0006672772434	0.0004578144352	-80.63555145	100.0105134	101.8816865	0.2800000006
H14	31	B	350	350	1917	266.4075499	-28.87615729	0.0006596389744	0.0004494086239	-80.8197937	101.7810742	103.6522477	0.2800000006
H14	31	A	288	288	1916	266.4075499	-28.87615729	0.0007041804099	0.0005460285886	-82.68990886	98.90607443	99.1398625	0.3400000009
H14	29	A	288	288	1917	266.4075499	-28.87615729	0.000695386158	0.0005474706167	-87.91858302	97.04117698	98.91235893	0.3400000009
Far_side_2	31	A	288	288	1916	266.3169291	-29.25540436	0.0007126541296	0.0005444424533	-81.19825932	98.90610137	99.13988956	0.3400000009
Far_side_2	31	B	350	350	1917	266.3169291	-29.25540436	0.0006738073296	0.0004492132531	-80.34928894	101.7811038	103.6522737	0.2800000006
Far_side_2	29	B	350	350	1917	266.3169291	-29.25540436	0.0006843290064	0.000458099544	-79.6668396	100.0105425	101.8817121	0.2800000006
Far_side_2	29	A	288	288	1917	266.3169291	-29.25540436	0.0007025627295	0.0005455128021	-86.04190063	97.04120514	98.91238768	0.3400000009
Far_side_2	25	B	350	350	1917	266.3169291	-29.25540436	0.000596778599	0.0003986887524	-79.10252121	115.1543995	115.3883068	0.2800000006
Far_side_2	25	A	288	288	1916	266.3169291	-29.25540436	0.0006296636197	0.0004813870611	-86.9412893	109.6653288	109.8991185	0.3400000009
Far_side_2	27	B	350	350	1917	266.3169291	-29.25540436	0.0006197752017	0.0004109660336	-79.33393336	112.2423798	112.4762869	0.2800000006
Far_side_2	27	A	288	288	1916	266.3169291	-29.25540436	0.0006288972312	0.000482270528	-86.96028559	110.0845186	110.3183084	0.3400000009
H8	27	B	350	350	1917	266.4074668	-28.95450526	0.000600390948	0.0004116309837	-80.66880266	112.2423583	112.4762634	0.2800000006
H8	25	B	350	350	1917	266.4074668	-28.95450526	0.0005796088302	0.0003994790357	-79.22768302	115.1543765	115.3882819	0.2800000006
H8	31	A	288	288	1916	266.4074668	-28.95450526	0.0007045683172	0.000546156848	-82.61386943	98.90608196	99.13987	0.3400000009
H8	29	A	288	288	1917	266.4074668	-28.95450526	0.0006959015266	0.000547472208	-87.88287146	97.04118459	98.91236664	0.3400000009
H8	31	B	350	350	1917	266.4074668	-28.95450526	0.0006521023644	0.0004504912429	-81.09658051	101.7810829	103.6522506	0.2800000006
H8	25	A	288	288	1916	266.4074668	-28.95450526	0.0006231883877	0.0004829843706	-88.50443104	109.6653072	109.8990968	0.3400000009
H8	29	B	350	350	1917	266.4074668	-28.95450526	0.0006611745189	0.0004595483676	-81.01714519	100.0105218	101.8816895	0.2800000006
H8	27	A	288	288	1916	266.4074668	-28.95450526	0.0006213967005	0.0004830975003	-88.62406921	110.0844953	110.3182849	0.3400000009
B1	29	A	288	288	1917	266.7481039	-28.54858987	0.0006939431694	0.000542385247	-89.46322632	97.04117747	98.9123594	0.3400000009
B1	25	B	350	350	1917	266.7481039	-28.54858987	0.0005670799933	0.0004016471692	-79.58074356	115.1543705	115.3882763	0.2800000006
B1	31	A	288	288	1916	266.7481039	-28.54858987	0.0007047812645	0.0005436644884	-82.7533226	98.90607642	99.13986447	0.3400000009
B1	27	B	350	350	1917	266.7481039	-28.54858987	0.0005896678997	0.000412905937	-80.83957594	112.2423577	112.4762632	0.2800000006
B1	27	A	288	288	1917	266.7481039	-28.54858987	0.0006228727491	0.0004829209127	-88.65294404	110.0844872	110.3183989	0.3400000009
B1	29	B	350	350	1917	266.7481039	-28.54858987	0.0006490688834	0.0004609978115	-81.01135693	100.0105163	101.8816842	0.2800000006
B1	31	B	350	350	1917	266.7481039	-28.54858987	0.0006405272201	0.0004521783635	-81.30574171	101.7810772	103.6522452	0.2800000006
B1	25	A	288	288	1917	266.7481039	-28.54858987	0.0006241895171	0.000482689054	-88.62781288	109.6653011	109.8992128	0.3400000009
G0.38	29	A	288	288	1917	266.6131919	-28.602967	0.0006963420616	0.0005472091972	-87.99389956	97.0411707	98.91235253	0.3400000009
G0.38	31	B	350	350	1917	266.6131919	-28.602967	0.0006441547473	0.0004520098368	-81.35119629	101.7810691	103.6522369	0.2800000006
G0.38	29	B	350	350	1917	266.6131919	-28.602967	0.0006529918785	0.0004610904991	-81.03383301	100.0105084	101.881676	0.2800000006
G0.38	31	A	288	288	1917	266.6131919	-28.602967	0.0007045265408	0.0005447507727	-82.81750223	98.90606953	99.13997966	0.3400000009
G0.38	27	B	350	350	1917	266.6131919	-28.602967	0.0005930844501	0.0004132903148	-80.84591274	112.2423465	112.4762519	0.2800000006
G0.38	27	A	288	288	1917	266.6131919	-28.602967	0.0006254346626	0.000489825962	89.40279459	110.0844795	110.3183913	0.3400000009
G0.38	25	B	350	350	1917	266.6131919	-28.602967	0.0005702404263	0.00040199086	-79.52498783	115.1543613	115.388267	0.2800000006
G0.38	25	A	288	288	1917	266.6131919	-28.602967	0.0006260499657	0.0004888447243	89.45583586	109.6652935	109.8992052	0.3400000009
B1-West	25	B	350	350	1917	266.8242334	-28.54012556	0.0005660242505	0.0004015352876	-79.65135331	115.1543783	115.3882841	0.2800000006
B1-West	25	A	288	288	1917	266.8242334	-28.54012556	0.000624003621	0.0004824386472	-88.60151951	109.6653078	109.8992195	0.3400000009
B1-West	27	B	350	350	1917	266.8242334	-28.54012556	0.0005881569826	0.0004128348142	-80.8189638	112.2423666	112.4762721	0.2800000006
B1-West	27	A	288	288	1917	266.8242334	-28.54012556	0.0006228569152	0.0004827380081	-88.6495575	110.0844939	110.3184057	0.3400000009
B1-West	31	B	350	350	1917	266.8242334	-28.54012556	0.0006384636958	0.0004515299532	-81.28061676	101.7810841	103.6522523	0.2800000006
B1-West	29	A	288	288	1917	266.8242334	-28.54012556	0.0006940877438	0.0005420482159	-89.42302704	97.04118339	98.91236543	0.3400000009
B1-West	31	A	288	288	1916	266.8242334	-28.54012556	0.0007044070959	0.0005427890685	-82.79704285	98.90608247	99.13987051	0.3400000009
B1-West	29	B	350	350	1917	266.8242334	-28.54012556	0.0006477145545	0.0004610133137	-81.00374699	100.0105231	101.8816911	0.2800000006
SgrA-D	27	B	350	350	1917	266.4647918	-29.00638143	0.0006019136722	0.0004114717793	-80.58792614	112.2423718	112.4762769	0.2800000006
SgrA-D	31	A	288	288	1916	266.4647918	-29.00638143	0.0007045963853	0.0005463897977	-82.61342353	98.90609267	99.13988081	0.3400000009
SgrA-D	25	B	350	350	1916	266.4647918	-29.00638143	0.0005813581045	0.0003994421727	-79.24025726	115.1543899	115.3881732	0.2800000006
SgrA-D	29	A	288	288	1917	266.4647918	-29.00638143	0.0006964140377	0.0005475717625	-87.86179147	97.04119477	98.91237708	0.3400000009
SgrA-D	31	B	350	350	1917	266.4647918	-29.00638143	0.0006537849373	0.0004502465659	-81.03546906	101.7810943	103.6522623	0.2800000006
SgrA-D	25	A	288	288	1916	266.4647918	-29.00638143	0.0006235534678	0.0004829994017	-88.51529779	109.6653191	109.8991088	0.3400000009
SgrA-D	29	B	350	350	1917	266.4647918	-29.00638143	0.0006624004576	0.00045906855	-80.90497589	100.0105331	101.8817009	0.2800000006
SgrA-D	27	A	288	288	1916	266.4647918	-29.00638143	0.0006221704866	0.0004834464525	-88.63063322	110.0845068	110.3182966	0.3400000009
G359.65	31	B	350	350	1917	266.2646668	-29.26536465	0.0006658813026	0.0004502306051	-80.66202545	101.7810998	103.6522679	0.2800000006
G359.65	31	A	288	288	1916	266.2646668	-29.26536465	0.000713160164	0.0005442560056	-81.16101427	98.90609718	99.13988536	0.3400000009
G359.65	29	A	288	288	1917	266.2646668	-29.26536465	0.0007037457939	0.0005458724329	-85.96581576	97.04120153	98.91238401	0.3400000009
G359.65	29	B	350	350	1917	266.2646668	-29.26536465	0.0006730662452	0.0004584876365	-80.429245	100.0105385	101.8817065	0.2800000006
G359.65	27	A	288	288	1917	266.2646668	-29.26536465	0.0006285727024	0.000481553177	-86.8848877	110.0845145	110.3184264	0.3400000009
G359.65	27	B	350	350	1917	266.2646668	-29.26536465	0.0006125270812	0.0004115806776	-79.58606182	112.2423744	112.4762797	0.2800000006
G359.65	25	A	288	288	1916	266.2646668	-29.26536465	0.0006300119822	0.000481154398	-86.88565413	109.6653241	109.8991138	0.3400000009
G359.65	25	B	350	350	1917	266.2646668	-29.26536465	0.0005896412664	0.0003981228669	-79.4872818	115.1543942	115.3882997	0.2800000006
G359.73-b	27	A	288	288	1917	266.2698498	-29.19580013	0.0006286890637	0.0004823653135	-86.98164271	110.0845076	110.3184195	0.3400000009
G359.73-b	27	B	350	350	1917	266.2698498	-29.19580013	0.0006085192403	0.0004108877874	-80.23577512	112.2423672	112.4762725	0.2800000006
G359.73-b	25	A	288	288	1916	266.2698498	-29.19580013	0.0006295276178	0.0004814617876	-86.98417497	109.6653175	109.8991072	0.3400000009
G359.73-b	25	B	350	350	1917	266.2698498	-29.19580013	0.000588442143	0.000399344045	-79.14920845	115.1543867	115.3882922	0.2800000006
G359.73-b	31	A	288	288	1916	266.2698498	-29.19580013	0.0007123692767	0.0005445109366	-81.2134177	98.90609118	99.13987935	0.3400000009
G359.73-b	29	B	350	350	1917	266.2698498	-29.19580013	0.0006708466961	0.0004587780377	-80.53933557	100.0105319	101.8816998	0.2800000006
G359.73-b	31	B	350	350	1917	266.2698498	-29.19580013	0.000661989344	0.0004499095185	-80.75137042	101.7810931	103.6522611	0.2800000006
G359.73-b	29	A	288	288	1917	266.2698498	-29.19580013	0.0007023229864	0.0005456127723	-86.0717926	97.04119546	98.91237781	0.3400000009
